"Rank","Name","Symbol","marketcap","price (USD)","country"
"104","Coloplast","COLO-B.CO","28891698479","128.385","Denmark"
"105","Cellnex Telecom","CLNX.MC","28250956803","40.0414","Spain"
"106","BioNTech","BNTX","28150304768","118.395","Germany"
"107","Telefónica","TEF","27889332224","4.8801","Spain"
"108","H&amp;M","HM-B.ST","27331181505","16.9874","Sweden"
"109","Ericsson","ERIC","27273730048","8.3898","Sweden"
"110","Publicis Groupe","PUB.PA","27009616343","107.612","France"
"111","Ørsted","DOGEF","26788182016","61.36","Denmark"
"112","Michelin","ML.PA","26479870578","37.1229","France"
"113","ASM International","ASM.AS","26469511262","540.346","Netherlands"
"114","Hexagon AB","HEXA-B.ST","26290278217","9.7938","Sweden"
"115","Sandvik","SAND.ST","26021454503","20.7443","Sweden"
"116","RWE","RWE.DE","25588521119","34.4005","Germany"
"117","Naturgy","NTGY.MC","25046250506","26.0699","Spain"
"118","Sampo","SAMPO.HE","24537988335","45.3229","Finland"
"119","ICON plc","ICLR","24487211008","295.66","Ireland"
"120","Danske Bank","DANS.VI","24405179449","29.0319","Denmark"
"121","Ryanair","RYAAY","24280176640","44.47","Ireland"
"122","Nokia","NOK","24276064256","4.456","Finland"
"123","Veolia","VIE.PA","23920267555","32.7562","France"
"124","Epiroc","EPI-A.ST","23522626284","20.2377","Sweden"
"125","Seagate Technology","STX","23464288256","111.455","Ireland"
"126","Maersk","MAERSK-B.CO","23232215250","1500.84","Denmark"
"127","Smurfit Westrock","SW","23102128128","44.485","Ireland"
"128","Endesa","ELE.MC","22886762409","21.6215","Spain"
"129","Rheinmetall","RHM.F","22855296404","526.408","Germany"
"130","Steris","STE","22556598272","228.73","Ireland"
"131","Swedbank","SWED-A.ST","22074589046","19.6163","Sweden"
"132","Talanx","TLX.DE","22007966791","83.7961","Germany"
"133","Erste Group Bank","EBO.F","21935592081","54.6227","Austria"
"134","Commerzbank","CBK.F","21479641668","18.1313","Germany"
"135","Essity","ESSITY-B.ST","21159309424","30.3326","Sweden"
"136","Uniper","UN0.DE","20726241725","49.7659","Germany"
"137","Fresenius","FRE.DE","20700500664","36.7091","Germany"
"138","Prysmian Group","PRY.MI","20682583173","71.5235","Italy"
"139","Unipol Gruppo","UNI.MI","20571837735","13.1439","Italy"
"140","Société Générale","GLE.PA","20118576953","25.2151","France"
"141","EnBW Energie","EBK.DE","20056780120","74.0499","Germany"
"142","ČEZ Group","CEZ.PR","19704220245","36.7061","Czech Republic"
"143","ArcelorMittal","MT","19382116352","24.09","Luxembourg"
"144","Svenska Handelsbanken","SHB-A.ST","19255957464","9.67908","Sweden"
"145","AerCap","AER","19125581824","98","Ireland"
"146","HeidelbergCement","HEI.DE","19081579301","105.347","Germany"
"147","Evolution Gaming","EVO.ST","19075834800","91.7147","Sweden"
"148","Alfa Laval","ALFA.ST","18914524282","45.7618","Sweden"
"149","MTU Aero Engines","MTX.DE","18857822533","334.204","Germany"
"150","Vestas Wind Systems","VWS.CO","18825339941","18.6565","Denmark"
"151","PKO Bank Polski","PKO.WA","18651990470","14.9216","Poland"
"152","Investment AB Latour","LATO-B.ST","18615988935","29.1185","Sweden"
"153","Symrise","SY1.DE","18378515152","130.84","Germany"
"154","Poste Italiane","PST.MI","18256919752","14.1021","Italy"
"155","Bolloré","BOL.PA","18198300965","6.41947","France"
"156","Terna","TRN.MI","17979569971","8.87074","Italy"
"157","Tenaris","TS","17960923136","31.5","Luxembourg"
"158","EDP Group","EDP.F","17546805173","4.21402","Portugal"
"159","Kerry Group","KRZ.IR","17407401189","102.309","Ireland"
"160","Prada","1913.HK","17206108696","6.72424","Italy"
"161","Aptiv","APTV","16691558400","71.04","Ireland"
"162","Snam","SRG.MI","16605623574","4.94719","Italy"
"163","EDP Renováveis","EDPR.LS","16505914320","15.4742","Spain"
"164","UPM-Kymmene","UPM.HE","16342956367","30.6436","Finland"
"165","Carlsberg","CARL-B.CO","16201380959","114.434","Denmark"
"166","Kingspan Group","KRX.IR","16178610110","88.9688","Ireland"
"167","KPN","KPN.AS","16093612423","4.12284","Netherlands"
"168","Traton","8TRA.DE","15980616705","31.9612","Germany"
"169","Dassault Aviation","AM.PA","15941925941","203.746","France"
"170","PKN Orlen","PKN.WA","15858405987","13.66","Poland"
"171","James Hardie Industries","JHX","15763935232","36.7","Ireland"
"172","Amundi","AMUN.PA","15580510700","75.3566","France"
"173","Moncler","MONC.MI","15547395457","57.454","Italy"
"174","Sartorius","SRT.DE","15332194882","197.975","Germany"
"175","Industrivarden","INDU-A.ST","15020782661","34.816","Sweden"
"176","Bureau Veritas","BVI.PA","14827138634","33.0611","France"
"177","Repsol","REP.MC","14812793937","12.7899","Spain"
"178","Tryg","TRYG.CO","14643334484","23.8004","Denmark"
"179","Genmab","GMAB","14610647040","22.79","Denmark"
"180","Lifco","LIFCO-B.ST","14302938956","31.4893","Sweden"
"181","Knorr-Bremse","KBX.DE","14210104759","88.152","Germany"
"182","Fortum","FORTUM.HE","14167840087","15.79","Finland"
"183","Galp Energia","GZ5.F","14156221819","18.0932","Portugal"
"184","Mediobanca","MB.MI","14151064463","17.1186","Italy"
"185","ABN AMRO","ABN.AS","13897757439","16.683","Netherlands"
"186","OMV","OMV.F","13768472281","42.0778","Austria"
"187","OTP Bank","OTP.BD","13727200207","51.9146","Hungary"
"188","bioMérieux","BIM.PA","13724317508","116.302","France"
"189","NN Group","NN.AS","13633619410","50.2995","Netherlands"
"190","Leonardo","LDO.MI","13513417890","23.4891","Italy"
"191","Neste","NESTE.HE","13485399787","17.5542","Finland"
"192","International Consolidated Airlines","BABWF","13379757056","2.73","Spain"
"193","Lundbergföretagen","LUND-B.ST","13205234293","53.2469","Sweden"
"194","Porsche SE","PAH3.DE","13193301640","43.2321","Germany"
"195","Allegion","ALLE","13187708928","151.36","Ireland"
"196","Continental","CON.DE","12859019109","64.2492","Germany"
"197","Nemetschek","NEM.F","12805431672","109.986","Germany"
"198","Wärtsilä","WRT1V.HE","12727178134","21.6051","Finland"
"199","Renault","RNO.PA","12640484373","43.7657","France"
"200","AIB Group (Allied Irish Banks)","A5G.IR","12551211378","5.3904","Ireland"
"201","Pandora","PNDORA.CO","12353527967","154.899","Denmark"
"202","Bouygues","EN.PA","12338704894","32.778","France"
"203","Santander Polska","SPL.WA","12312489043","120.487","Poland"
"204","Aéroports de Paris","ADP.PA","12183421087","123.38","France"
"205","Telia Company","TELIA.ST","12167674934","3.09444","Sweden"
"206","Sodexo","SW.PA","12117409160","82.8705","France"
"207","Recordati","REC.MI","12110865730","58.8043","Italy"
"208","Unibail-Rodamco-Westfield","URW.PA","12059650119","85.5276","France"
"209","SPEEH Hidroelectrica","H2O.RO","12050668327","26.791","Romania"
"210","Covestro","1COV.F","12040130223","63.6176","Germany"
"211","Fresenius Medical Care","FMS","11804749824","20.1","Germany"
"212","Grupo ACS","ACS.MC","11782375050","47.784","Spain"
"213","Jerónimo Martins","JEM.F","11763839791","18.6867","Portugal"
"214","AkzoNobel","AKZA.AS","11619388104","68.0388","Netherlands"
"215","Puig Brands","PUIG.MC","11489282230","20.3964","Spain"
"216","Euronext","ENX.PA","11465609687","110.857","Netherlands"
"217","INWIT","INW.MI","11328136321","12.0222","Italy"
"218","Eurofins Scientific","ERF.PA","11326284134","59.9151","Luxembourg"
"219","D'Ieteren Group","DIE.BR","11288183260","212.676","Belgium"
"220","Rational AG","RAA.F","11279614505","992.051","Germany"
"221","Vivendi","VIV.PA","11227470308","11.2926","France"
"222","Delivery Hero","DHER.F","11207485414","40.4879","Germany"
"223","SAAB AB","SAAB-B.ST","11074928997","20.7539","Sweden"
"224","Akelius Residential Property","AKEL-D.ST","11060176831","1.82511","Sweden"
"225","Deutsche Wohnen","DWNI.DE","10984471306","27.1153","Germany"
"226","Accor","AC.PA","10962106780","44.9962","France"
"227","Banco Sabadell","SAB.MC","10894591693","2.03202","Spain"
"228","Lotus Bakeries","LOTB.BR","10811246590","13307.2","Belgium"
"229","Carrefour","CA.PA","10696493468","16.2529","France"
"230","Evonik Industries","EVK.DE","10687095372","22.9337","Germany"
"231","Indutrade","INDT.ST","10545852835","28.9464","Sweden"
"232","HELLA","HLE.F","10441989938","93.978","Germany"
"233","Ipsen","IPN.PA","10385525532","125.449","France"
"234","Banco BPM","BAMI.MI","10372159895","6.90842","Italy"
"235","AEGON","AEG","10354138112","6.355","Netherlands"
"236","Alstom","ALO.PA","10297708862","22.0516","France"
"237","CTS Eventim","EVD.F","10275449156","107.046","Germany"
"238","ASR Nederland","ASRNL.AS","10158238345","48.1433","Netherlands"
"239","Red Eléctrica","RED.MC","10143143182","18.7847","Spain"
"240","JDE Peet's","JDEP.AS","10134555766","20.3964","Netherlands"
"241","Brenntag","BNR.DE","10087925462","69.8682","Germany"
"242","InPost","INPST.AS","10033684574","19.547","Luxembourg"
"243","Bank Pekao (Bank Polska Kasa Opieki)","PEO.WA","10023902872","38.1907","Poland"
"244","FinecoBank","FBK.MI","9979066780","16.3236","Italy"
"245","Davide Campari-Milano","CPR.MI","9974872874","8.29794","Italy"
"246","Bank of Ireland Group","BIRG.IR","9919331774","9.87912","Ireland"
"247","ageas","AGS.BR","9827116019","53.599","Belgium"
"248","Qiagen","QGEN","9723174912","43.75","Netherlands"
"249","Swedish Orphan Biovitrum","SOBI.ST","9691732660","28.2199","Sweden"
"250","Rockwool","ROCK-B.CO","9629124089","454.118","Denmark"
"251","Hochtief","HOT.F","9581890154","124.687","Germany"
"252","IMCD","IMCD.AS","9578519194","166.503","Netherlands"
"253","GBL","GBLB.VI","9576772941","75.3566","Belgium"
"254","Klépierre","LI.PA","9502105578","32.9086","France"
"255","Fastighets AB Balder","BALD-B.ST","9456040471","8.06829","Sweden"
"256","Birkenstock","BIRK","9429015552","50.2","Germany"
"257","NIBE Industrier","NIBE-B.ST","9420546269","4.67273","Sweden"
"258","Svenska Cellulosa Aktiebolaget (SCA)","SCA-B.ST","9360414277","13.3308","Sweden"
"259","Getlink","GET.PA","9358253817","17.2819","France"
"260","Sagax","SAGA-B.ST","9347222594","26.4609","Sweden"
"261","Allegro.eu","ALE.WA","9340740545","8.83895","Poland"
"262","Eiffage","FGR.PA","9319299889","97.5934","France"
"263","Edenred","EDEN.PA","9222101849","37.3952","France"
"264","Globant","GLOB","9202574336","213.305","Luxembourg"
"265","Stora Enso","STEAV.HE","9192165767","11.652","Finland"
"266","Banca Mediolanum","BMED.MI","9145340320","12.4034","Italy"
"267","Amer Sports","AS","9145024512","18.1","Finland"
"268","Powszechny Zakład Ubezpieczeń","PZU.WA","9030534930","10.4578","Poland"
"269","Edison","EDNR.MI","9025454374","1.91114","Italy"
"270","ING Bank Slaski","ING.WA","8993445444","69.1612","Poland"
"271","BPER Banca","BPE.MI","8983694845","6.32909","Italy"
"272","Lufthansa","LHA.DE","8978975167","7.26778","Germany"
"273","GEA Group","G1A.F","8770238292","51.5736","Germany"
"274","BE Semiconductor","BESI.AS","8668041241","109.06","Netherlands"
"275","Zalando","ZAL.DE","8663356132","33.1155","Germany"
"276","Sofina","SOF.VI","8652176099","261.135","Belgium"
"277","Randstad","RAND.AS","8631248385","48.7314","Netherlands"
"278","Dino Polska","DNP.WA","8630937562","88.0349","Poland"
"279","Boliden","BOL.ST","8606178912","31.4702","Sweden"
"280","Skanska","SKA-B.ST","8600032191","20.9355","Sweden"
"281","Demant","DEMANT.CO","8573825089","38.8744","Denmark"
"282","Gecina","GFC.PA","8548098983","115.648","France"
"283","Elisa","ELISA.HE","8526964974","53.1199","Finland"
"284","SKF (Svenska Kullagerfabriken)","SKF-B.ST","8515030607","18.7033","Sweden"
"285","CTP N.V.","CTPNV.AS","8439890406","18.5125","Netherlands"
"286","AAK","AAK.ST","8371830560","32.2541","Sweden"
"287","Mapfre","MAP.MC","8340212933","2.72024","Spain"
"288","DWS Group","DWS.F","8319721224","41.5986","Germany"
"289","Metso","METSO.HE","8284831850","10.0142","Finland"
"290","Rexel","RXL.PA","8237335668","27.7687","France"
"291","Trelleborg AB","TREL-B.ST","8177641466","34.7013","Sweden"
"292","Zealand Pharma","ZEAL.CO","8147587278","114.843","Denmark"
"293","Eurobank Ergasias Services and Holdings","EUROB.AT","8059333290","2.19318","Greece"
"294","Beijer Ref","BEIJ-B.ST","8010129409","15.802","Sweden"
"295","KGHM Polska Miedź","KGH.WA","7997872450","39.9894","Poland"
"296","Kesko","KESKOA.HE","7964382184","19.9499","Finland"
"297","Nexi","NEXI.MI","7932534814","6.45105","Italy"
"298","UnipolSai Assicurazioni","US.MI","7910283984","2.79651","Italy"
"299","Elia Group","ELI.BR","7779767797","105.848","Belgium"
"300","Addtech AB","ADDT-B.ST","7742948684","28.6979","Sweden"
"301","LEG Immobilien","LEG.DE","7698718136","102.472","Germany"
"302","Ascendis Pharma","ASND","7682199552","128.55","Denmark"
"303","Tele2","TEL2-A.ST","7573903275","10.9935","Sweden"
"304","LPP SA","LPP.WA","7532074765","4058.47","Poland"
"305","Autoliv","ALV","7434844672","94.41","Sweden"
"306","A2A","A2A.MI","7427142921","2.37068","Italy"
"307","Bankinter","BKT.MC","7421682814","8.25874","Spain"
"308","Jazz Pharmaceuticals","JAZZ","7309463040","118.355","Ireland"
"309","Orion Corporation","ORNAV.HE","7288750151","51.6171","Finland"
"310","National Bank of Greece","ETE.AT","7269247540","7.97561","Greece"
"311","Acciona","ANA.MC","7244558022","133.072","Spain"
"312","Banca Monte dei Paschi di Siena","BMPS.MI","7218217036","5.73015","Italy"
"313","Compagnie de l'Odet","ODET.PA","7173636293","1677.01","France"
"314","Française des Jeux","FDJ.VI","7160906823","38.7455","France"
"315","Securitas AB","SECU-B.ST","7136350533","12.4561","Sweden"
"316","Acciona Energías Renovables","ANE.MC","7130140547","21.9972","Spain"
"317","Banco Comercial Português (Millennium bcp)","BCP.LS","7078672364","0.466623","Portugal"
"318","OTE Group","OTE.F","7029330825","16.9497","Greece"
"319","Ternium","TX","6933598720","35.32","Luxembourg"
"320","Buzzi Unicem","BZU.MI","6930568154","38.2446","Italy"
"321","Arkema","AKE.PA","6858324469","90.9833","France"
"322","Brunello Cucinelli","BC.MI","6849613277","100.73","Italy"
"323","Ackermans &amp; Van Haaren","ACKB.BR","6843065386","207.557","Belgium"
"324","Merlin Properties","MRL.MC","6841092767","12.1638","Spain"
"325","Lundbeck","HLUN-B.CO","6799494843","7.12697","Denmark"
"326","Castellum","CAST.ST","6797747553","13.804","Sweden"
"327","Covivio","COV.PA","6794930807","61.3089","France"
"328","Amplifon","AMP.MI","6777537415","29.7397","Italy"
"329","Financière de Tubize","TUB.BR","6737732663","151.149","Belgium"
"330","PUMA","PUM.DE","6705916515","42.7747","Germany"
"331","Grifols","GRFS","6671930368","8.495","Spain"
"332","Andritz","AZ2.F","6655087287","67.0805","Austria"
"333","DCC plc","DCC.L","6642472919","67.1796","Ireland"
"334","Volvo Car","VOLCAR-B.ST","6605005667","2.22165","Sweden"
"335","mBank","MBK.WA","6578082817","154.789","Poland"
"336","Komerční banka","KOMB.PR","6541857839","34.6394","Czech Republic"
"337","Nexans","NEX.PA","6537672970","147.337","France"
"338","Neoen","NEOEN.PA","6529813159","42.7747","France"
"339","Raiffeisen Bank International","RAW.F","6494469380","19.7757","Austria"
"340","Arcadis","ARCAD.AS","6463268213","71.6541","Netherlands"
"341","Holmen","HOLM-B.ST","6451576486","40.6665","Sweden"
"342","SPIE","SPIE.PA","6397829450","38.3317","France"
"343","Teleperformance","TEP.PA","6389903848","106.458","France"
"344","L'Occitane International","COC.F","6381654599","4.22845","Luxembourg"
"345","Scout24","G24.F","6328263687","86.4097","Germany"
"346","OPAP (Organization of Football Prognostics)","OPAP.AT","6270253747","17.3582","Greece"
"347","Telecom Italia","TIT.MI","6203141771","0.272787","Italy"
"348","Fomento de Construcciones y Contratas","FCC.MC","6181330336","13.5903","Spain"
"349","ALD Automotive","ALD.PA","6113401253","7.49209","France"
"350","A1 Telekom Austria","TA1.F","6031179911","9.03844","Austria"
"351","DiaSorin","DIA.MI","6017851630","112.872","Italy"
"352","BAWAG Group","0B2.F","5950262389","75.5744","Austria"
"353","Compagnie du Cambodge","CBDG.PA","5912478763","10563","France"
"354","Carl Zeiss Meditec","AFXA.F","5892580290","65.8826","Germany"
"355","Sweco","SWEC-A.ST","5840604209","16.2513","Sweden"
"356","Groupe SEB","SK.PA","5834700817","107.263","France"
"357","Axfood","AXFO.ST","5815924524","26.9389","Sweden"
"358","Warehouses De Pauw","WDP.BR","5805997482","25.7432","Belgium"
"359","Hera Group","HER.MI","5784678367","4.01176","Italy"
"360","Pirelli","PIRC.MI","5780246386","5.78025","Italy"
"361","Reply","REY.MI","5744849640","151.802","Italy"
"362","Eurazeo","RF.PA","5742480601","80.3659","France"
"363","MOL Group","MOL.BD","5737200762","7.18066","Hungary"
"364","OCI","OCI.AS","5714172571","27.0718","Netherlands"
"365","Ayvens","AYV.PA","5713660181","6.98029","France"
"366","Colruyt","COLR.BR","5663951075","45.3011","Belgium"
"367","Konecranes","KCR.HE","5654096901","71.3819","Finland"
"368","Vopak","VPK.AS","5616886438","46.8039","Netherlands"
"369","Richter Gedeon","RIG2.F","5572610119","30.5347","Hungary"
"370","ALK-Abelló","ALK-B.CO","5458336423","24.6613","Denmark"
"371","Getinge","GETI-B.ST","5434016486","19.9509","Sweden"
"372","Nordnet AB","SAVE.ST","5402198256","21.5091","Sweden"
"373","Fuchs Petrolub","FPE.F","5386605754","35.7726","Germany"
"374","Oberbank","OBS.VI","5382643790","76.2278","Austria"
"375","Elis","ELIS.PA","5379406085","22.8466","France"
"376","B&M European Value Retail","BME.L","5363320819","5.34312","Luxembourg"
"377","Banca Generali","BGN.MI","5218820516","45.802","Italy"
"378","SCHOTT Pharma","1SXP.DE","5199748893","33.7145","Germany"
"379","Gaztransport & Technigaz","GTT.PA","5185704715","140.041","France"
"380","GamaLife","BTRVB.LS","5172601686","103.452","Portugal"
"381","EVN Group","EVN.F","5164131356","28.9666","Austria"
"382","Piraeus Financial Holdings","TPEIR.AT","5155279660","4.1359","Greece"
"383","Italgas","IG.MI","5123819789","6.31602","Italy"
"384","RTL Group","RRTL.F","5122588156","32.8869","Luxembourg"
"385","KION Group","KGX.DE","5069081564","38.6584","Germany"
"386","Azelis Group","AZE.BR","5048886473","20.734","Belgium"
"387","NKT A/S","NKT.CO","5036273008","93.9027","Denmark"
"388","Bechtle","BC8.F","5027376674","39.8998","Germany"
"389","Fraport","FRA.DE","4984868352","52.9239","Germany"
"390","Stevanato","STVN","4978240000","18.245","Italy"
"391","Public Power Corporation","PPC.AT","4958554128","12.9805","Greece"
"392","Mytilineos","MYTIL.AT","4935119103","35.7617","Greece"
"393","Ambu","AMBU-B.CO","4927125777","18.496","Denmark"
"394","Grupo Catalana Occidente","GCO.MC","4903166355","41.5442","Spain"
"395","Subsea 7","SUBC.OL","4875167987","16.393","Luxembourg"
"396","Valmet","VALMT.HE","4855392512","26.3639","Finland"
"397","Flughafen Wien (Vienna Airport)","FLU.VI","4767787712","56.8442","Austria"
"398","Vienna Airport","FLW1.F","4767787712","56.8442","Austria"
"399","Interpump Group","IP.MI","4766534335","44.6042","Italy"
"400","Topdanmark","TOP.CO","4761318479","53.3793","Denmark"
"401","Fluidra","FDR.MC","4754861427","25.0463","Spain"
"402","Copenhagen Airport","KBHL.CO","4752699823","605.588","Denmark"
"403","Jyske Bank","JYSK.CO","4684791782","75.9539","Denmark"
"404","Strabag","XD4.F","4676554085","40.5096","Austria"
"405","Wacker Chemie","WCH.F","4650245994","93.6078","Germany"
"406","Alkermes","ALKS","4637065216","28.15","Ireland"
"407","Millicom","TIGO","4626956288","26.96","Luxembourg"
"408","SSAB","SSAB-B.ST","4604318350","4.58096","Sweden"
"409","Romgaz","RZ8G.F","4515335415","0.952848","Romania"
"410","De' Longhi","DLG.MI","4464304911","29.2061","Italy"
"411","Solvay","SOLB.VI","4456236298","42.4371","Belgium"
"412","Shurgard Self Storage","SHUR.BR","4435278754","44.4844","Luxembourg"
"413","JCDecaux","DEC.PA","4352165872","20.1133","France"
"414","Technoprobe","TPRO.MI","4321311223","6.53926","Italy"
"415","Wendel","MF.PA","4318125371","101.71","France"
"416","Glanbia plc","GL9.IR","4306422912","16.6939","Ireland"
"417","Saipem","SPM.MI","4283950779","2.18883","Italy"
"418","Fielmann","FIE.F","4267102951","50.637","Germany"
"419","Krones","KRN.F","4266083467","135.032","Germany"
"420","Vienna Insurance Group","WSV2.F","4252097833","32.6146","Austria"
"421","Tikehau Capital","TKO.PA","4240801272","24.6651","France"
"422","Laboratorios Farmaceuticos Rovi","ROVI.MC","4222364700","82.5438","Spain"
"423","CD Projekt","CDR.WA","4148488788","41.5221","Poland"
"424","Aalberts","AALB.AS","4147201394","37.5041","Netherlands"
"425","Inmobiliaria Colonial","COL.MC","4119295916","6.64815","Spain"
"426","Sopra Steria Group","SOP.PA","4110630443","202.875","France"
"427","ACEA","ACE.MI","4108381836","19.3292","Italy"
"428","Scor","SCR.PA","4087918841","22.8248","France"
"429","TUI","TUI1.F","4048445554","7.73168","Germany"
"430","Royal Unibrew","RBREW.CO","4002580569","79.9668","Denmark"
"431","KBC Ancora","KBCA.BR","4000185804","51.7805","Belgium"
"432","Logista (Compañía de Distribución Integral Logista)","LOG.MC","3960080531","30.012","Spain"
"433","Jumbo S.A.","5JB.F","3959901557","27.8776","Greece"
"434","PGE Polska","PGE.WA","3934578034","1.7536","Poland"
